coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
ETH,46.4302,4337.04,200819.90104,-549.857036,25.0,8032.796041,1756169642337,2025-08-26 00:54:02
ETH,69.5676,4332.03,300650.29692,-719.303956,25.0,12026.011876,1756170062651,2025-08-26 01:01:02
ETH,92.7586,4327.02,401598.3587,229.165824,25.0,16063.934348,1756170130600,2025-08-26 01:02:10
ETH,0.0001,4327.02,0.43435,0.001648,25.0,0.017374,1756170308442,2025-08-26 01:05:08
ETH,22.6245,4419.99,99984.45285,-15.827852,25.0,3999.378114,1756207393068,2025-08-26 11:23:13
ETH,45.2899,4415.99,199764.69092,-235.334582,25.0,7990.587636,1756207934556,2025-08-26 11:32:14
ETH,0.1289,4415.99,570.7692,1.547293,25.0,22.830768,1756211530410,2025-08-26 12:32:10
ETH,0.0026,4415.99,11.79906,0.31747,25.0,0.471962,1756227899853,2025-08-26 17:04:59
ETH,0.0026,4415.99,12.05906,0.57747,25.0,0.482362,1756319037625,2025-08-27 18:23:57
ETH,21.7824,4591.27,100016.06784,6.99051,25.0,4000.642713,1756321242848,2025-08-27 19:00:42
ETH,43.6164,4585.63,199841.62152,-167.17581,25.0,7993.66486,1756321585015,2025-08-27 19:06:25
ETH,65.4743,4582.08,299296.12016,-712.56967,25.0,11971.844806,1756321622567,2025-08-27 19:07:02
ETH,87.3801,4577.8,399047.44068,-961.22615,25.0,15961.897627,1756321642235,2025-08-27 19:07:22
ETH,109.3099,4574.22,498409.42004,-1599.13479,25.0,19936.376801,1756321962569,2025-08-27 19:12:42
ETH,131.2205,4572.52,598864.1179,-1144.41533,25.0,23954.564716,1756324128156,2025-08-27 19:48:48
ETH,153.1503,4570.72,698150.95758,-1857.46365,25.0,27926.038303,1756324902937,2025-08-27 20:01:42
ETH,175.1041,4568.75,797248.9673,-2759.01293,25.0,31889.958692,1756325026056,2025-08-27 20:03:46
ETH,197.0821,4566.66,896762.97142,-3244.90881,25.0,35870.518856,1756325065454,2025-08-27 20:04:25
ETH,219.0697,4564.79,995759.41438,-4248.07065,25.0,39830.376575,1756325142649,2025-08-27 20:05:42
ETH,285.1687,4559.22,1295350.30288,-4797.48196,25.0,51814.012115,1756325230888,2025-08-27 20:07:10
ETH,307.1907,4557.83,1395997.41708,-4125.84336,25.0,55839.896683,1756325382464,2025-08-27 20:09:42
ETH,232.3237,4557.83,1060325.3668,1433.231326,25.0,42413.014672,1756325724362,2025-08-27 20:15:24
ETH,124.2936,4557.83,567126.83808,617.629037,25.0,22685.073523,1756325743230,2025-08-27 20:15:43
ETH,0.0001,4557.83,0.45672,0.000937,25.0,0.018268,1756325829772,2025-08-27 20:17:09
ETH,22.0299,4539.3,100009.13703,8.810107,25.0,4000.365481,1756330942277,2025-08-27 21:42:22
ETH,44.1293,4532.13,199455.61014,-544.501783,25.0,7978.224405,1756331562361,2025-08-27 21:52:42
ETH,66.2629,4527.41,299309.5193,-690.197423,25.0,11972.380772,1756331645437,2025-08-27 21:54:05
ETH,88.4162,4524.05,399402.50026,-597.212663,25.0,15976.10001,1756331842318,2025-08-27 21:57:22
ETH,110.6236,4519.82,497938.94832,-2060.686803,25.0,19917.557932,1756332266109,2025-08-27 22:04:26
ETH,132.8735,4515.42,596974.0608,-3006.403693,25.0,23878.962432,1756332384407,2025-08-27 22:06:24
ETH,155.1546,4512.01,696520.03032,-3540.451043,25.0,27860.801212,1756332445370,2025-08-27 22:07:25
ETH,177.4278,4509.22,796171.76694,-3890.927783,25.0,31846.870677,1756332462640,2025-08-27 22:07:42
ETH,199.7005,4507.39,897294.2866,-2834.775123,25.0,35891.771464,1756332504774,2025-08-27 22:08:24
ETH,0.8135,4507.39,3674.4168,7.65086,25.0,146.976672,1756333962238,2025-08-27 22:32:42
ETH,0.0163,4507.39,73.61732,0.14678,25.0,2.944692,1756334024583,2025-08-27 22:33:44
ETH,22.3776,4472.02,100007.73216,-65.47198,25.0,4000.309286,1756341295124,2025-08-28 00:34:55
ETH,0.008,4472.02,36.0224,0.246194,25.0,1.440896,1756342015755,2025-08-28 00:46:55
ETH,22.0733,4531.97,99886.09716,-149.618646,25.0,3995.443886,1756394657565,2025-08-28 15:24:17
ETH,44.1825,4527.48,200031.8505,-3.776906,25.0,8001.27402,1756394706473,2025-08-28 15:25:06
ETH,66.3308,4523.31,299556.52588,-478.676026,25.0,11982.261035,1756394816468,2025-08-28 15:26:56
ETH,88.5135,4519.47,399178.1823,-856.631206,25.0,15967.127292,1756396013732,2025-08-28 15:46:53
ETH,110.7604,4513.24,497867.998,-2021.311506,25.0,19914.71992,1756396205055,2025-08-28 15:50:05
ETH,133.0569,4508.51,597425.481,-2463.631006,25.0,23897.01924,1756396248765,2025-08-28 15:50:48
ETH,155.3296,4505.91,697460.96992,-2440.898486,25.0,27898.438796,1756396344930,2025-08-28 15:52:24
ETH,150.9272,4505.91,681255.19536,1190.164149,25.0,27250.207814,1756397216676,2025-08-28 16:06:56
ETH,0.3303,4505.91,1491.20541,2.901912,25.0,59.648216,1756397270649,2025-08-28 16:07:50
ETH,22.5836,4493.58,101334.87156,-146.410158,25.0,4053.394862,1756400145729,2025-08-28 16:55:45
ETH,67.1602,4488.15,301455.27372,30.017972,25.0,12058.210948,1756400164167,2025-08-28 16:56:04
ETH,89.4816,4486.11,400635.96768,-789.160068,25.0,16025.438707,1756400328341,2025-08-28 16:58:48
ETH,156.6056,4478.18,699165.7012,-2143.558998,25.0,27966.628048,1756400387699,2025-08-28 16:59:47
ETH,32.3525,4478.18,145243.3135,362.74831,25.0,5809.73254,1756402104289,2025-08-28 17:28:24
